 PICST_88332_AZF1 
 PICST_49658 
 PICST_89723_SEC9 
 PICST_45009_HSP31 
 PICST_90237_KSP2 
 PICST_41967 
 PICST_30867 
 PICST_67534 
 PICST_56134 
 PICST_89701_SOR1 
 PICST_38325_NEP35 
 PICST_32365 
 PICST_36094 
 PICST_38460_FBX9 
 PICST_35383 
 PICST_67803_SAD2 
 PICST_38245_TRP1 
 PICST_67704_SDS2 
 PICST_58499_SSY1.5 
 PICST_32834 
 PICST_41966_GAP1.7 
 PICST_82367_HRK1 
 PICST_33613_MCH4.5 
 PICST_30997 
 PICST_35930 
 PICST_81594 
 PICST_54326_CWC24 
 PICST_54919 
 PICST_46042_MDR110 
 PICST_34280_LEM3 
 PICST_29930 
 PICST_33614_TDH4 
 PICST_67511_HRR25 
 PICST_52656 
 PICST_36624_ATG3 
 PICST_28729 
 PICST_57358 
 PICST_74592_USP1 
 PICST_34006 
 PICST_63351 
 PICST_52347 
 PICST_68338 
 PICST_81178_DNF2 
 PICST_31954 
 PICST_82351 
 PICST_86838 
 PICST_83377_ECM3 
 PICST_30676 
 PICST_42547_RAD14 
 PICST_48859 
 PICST_33428_AZR1 
 PICST_74096 
 PICST_70688_DAD1 
 PICST_54662 
 PICST_48928 
 PICST_55889_SFT2 
 PICST_52416 
 PICST_52196 
 PICST_82838 
 PICST_75738_XPA1 
 PICST_64090 
 PICST_56847 
 PICST_46234 
 PICST_56464 
 PICST_56909 
 PICST_32772_MUC1 
 PICST_32535_SUL4 
 PICST_70378 
 PICST_87327_QDR21 
 PICST_30471_RIB1 
 PICST_51082 
 PICST_30748 
 PICST_84561_NAG4 
 PICST_27149 
 PICST_51322_UFO1 
 PICST_29570 
 PICST_31780_HSP18 
 PICST_80274 
 PICST_29254_NUF1 
 PICST_77777 
 PICST_86162 
 PICST_28128 
 PICST_64341_RHB1 
 PICST_85057 
 PICST_86747_DLD1 
 PICST_42172 
 PICST_51125 
 PICST_30802 
 PICST_33739_SAN1 
 PICST_28701_LYS21 
 PICST_68256 
 PICST_46516 
 PICST_64822 
 PICST_86656_CTM1 
 PICST_77835 
 PICST_48829_NAG2 
 PICST_30203 
 PICST_28181 
 PICST_85155 
 PICST_49633_TFB3 
 PICST_31353 
 PICST_28222_SVF1 
